source_material_id,ref_code_seq,ref_code,nucl_acid_ext,nucl_acid_amp,lib_reads_seqd,lib_layout,target_gene,target_subfragment,ampl_size,pcr_primers,mid,adapters,pcr_cond,seq_quality_check,seq_meth,dna_conc,dna_conc_method,dna_quant,analysis,run,reads_name,mock_pr,mock_eu,source_mat_id_an,url_seq,sop_seq
EMOBON_BPNS_Wa_211223_3um_1,DBB_AADP,EMOBON00136,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,70011637,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,2.84,NA,286.8,METAGENOMIC,230428_JARVIS_HVWGWDSX5,DBB_AADPOSDA_2_HVWGWDSX5.UDI117,DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218,DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_BPNS_Wa_211223_3um_2,DBB_AADQ,EMOBON00137,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,56307339,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,10.55,NA,1065.6,METAGENOMIC,230428_JARVIS_HVWGWDSX5,DBB_AADQOSDA_2_HVWGWDSX5.UDI098,DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218,DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_BPNS_Wa_211223_0.2um_1,DBB_AADR,EMOBON00138,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,74829542,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:11,basic Genoscope QC,Illumina NovaSeq 6000,1.525,NA,146.4,METAGENOMIC,230428_JARVIS_HVWGWDSX5,DBB_AADROSDA_1_HVWGWDSX5.UDI212,DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218,DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_BPNS_Wa_211223_0.2um_2,DBB_AADS,EMOBON00139,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,68060581,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,7.8,NA,756.6,METAGENOMIC,230428_JARVIS_HVWGWDSX5,DBB_AADSOSDA_1_HVWGWDSX5.UDI110,DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218,DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_BPNS_So_211028_micro_1,DBH_AAAS,EMOBON00140,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,50830902,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:11,basic Genoscope QC,Illumina NovaSeq 6000,0.715,NA,62.9,METAGENOMIC,230126_JARVIS_HCFCYDSX5,DBH_AAASOSDA_1_HCFCYDSX5.UDI138,DDC_AAAAOSDA_1_HCFCYDSX5.UDI137,NA,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_BPNS_So_211028_micro_2,DBH_AAAT,EMOBON00141,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,88875433,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Kapa;NoPCRs:2;PCRvolume:30;Nocycles:12,basic Genoscope QC,Illumina NovaSeq 6000,2.91,NA,256.1,METAGENOMIC,230126_JARVIS_HCFCYDSX5,DBH_AAATOSDA_1_HCFCYDSX5.UDI124,DDC_AAAAOSDA_1_HCFCYDSX5.UDI137,NA,,NA,Prod_ILL_BqADN_LowCost_148_v5; Bq low cost
EMOBON_BPNS_So_211223_micro_1,DBH_AAAU,EMOBON00142,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,77455396,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:11,basic Genoscope QC,Illumina NovaSeq 6000,0.575,NA,50.6,METAGENOMIC,230126_JARVIS_HCFCYDSX5,DBH_AAAUOSDA_1_HCFCYDSX5.UDI139,DDC_AAAAOSDA_1_HCFCYDSX5.UDI137,NA,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_BPNS_So_211223_micro_2,DBH_AAAV,EMOBON00143,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,56995223,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:14,basic Genoscope QC,Illumina NovaSeq 6000,0.311,NA,27.4,METAGENOMIC,230126_JARVIS_HCFCYDSX5,DBH_AAAVOSDA_1_HCFCYDSX5.UDI141,DDC_AAAAOSDA_1_HCFCYDSX5.UDI137,NA,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_EMT21_Wa_211020_3um_1,DBB_AADT,EMOBON00144,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,57344723,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,4.65,NA,418.5,METAGENOMIC,230428_JARVIS_HVWGWDSX5,DBB_AADTOSDA_2_HVWGWDSX5.UDI129,DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218,DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_EMT21_Wa_211020_3um_2,DBB_AADU,EMOBON00145,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,61313784,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,2.15,NA,210.7,METAGENOMIC,230428_JARVIS_HVWGWDSX5,DBB_AADUOSDA_2_HVWGWDSX5.UDI141,DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218,DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_EMT21_Wa_211020_0.2um_1,DBB_AADV,EMOBON00146,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,61765603,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,13.55,NA,1327.9,METAGENOMIC,230428_JARVIS_HVWGWDSX5,DBB_AADVOSDA_1_HVWGWDSX5.UDI122,DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218,DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_EMT21_Wa_211020_0.2um_2,DBB_AADW,EMOBON00147,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,66343024,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,16.75,NA,1691.8,METAGENOMIC,230428_JARVIS_HVWGWDSX5,DBB_AADWOSDA_1_HVWGWDSX5.UDI134,DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218,DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
EMOBON_EMT21_Wa_211216_3um_1,DBB_AADX,EMOBON00148,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,36983909,PAIRED,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:11,basic Genoscope QC,Illumina NovaSeq 6000,1.775,NA,179.3,METAGENOMIC,230428_JARVIS_HVWGWDSX5,DBB_AADXOSDA_2_HVWGWDSX5.UDI213,DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218,DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217,,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II
